Teritoriālā vienība,Region,County,1967 Iedzīvotāju skaits gada sākumā,1968 Iedzīvotāju skaits gada sākumā,1969 Iedzīvotāju skaits gada sākumā,1970 Iedzīvotāju skaits gada sākumā,1971 Iedzīvotāju skaits gada sākumā,1972 Iedzīvotāju skaits gada sākumā,1973 Iedzīvotāju skaits gada sākumā,1974 Iedzīvotāju skaits gada sākumā,1975 Iedzīvotāju skaits gada sākumā,1976 Iedzīvotāju skaits gada sākumā,1977 Iedzīvotāju skaits gada sākumā,1978 Iedzīvotāju skaits gada sākumā,1979 Iedzīvotāju skaits gada sākumā,1980 Iedzīvotāju skaits gada sākumā,1981 Iedzīvotāju skaits gada sākumā,1982 Iedzīvotāju skaits gada sākumā,1983 Iedzīvotāju skaits gada sākumā,1984 Iedzīvotāju skaits gada sākumā,1985 Iedzīvotāju skaits gada sākumā,1986 Iedzīvotāju skaits gada sākumā,1987 Iedzīvotāju skaits gada sākumā,1988 Iedzīvotāju skaits gada sākumā,1989 Iedzīvotāju skaits gada sākumā,1990 Iedzīvotāju skaits gada sākumā,1991 Iedzīvotāju skaits gada sākumā,1992 Iedzīvotāju skaits gada sākumā,1993 Iedzīvotāju skaits gada sākumā,1994 Iedzīvotāju skaits gada sākumā,1995 Iedzīvotāju skaits gada sākumā,1996 Iedzīvotāju skaits gada sākumā,1997 Iedzīvotāju skaits gada sākumā,1998 Iedzīvotāju skaits gada sākumā,1999 Iedzīvotāju skaits gada sākumā,2000 Iedzīvotāju skaits gada sākumā,2001 Iedzīvotāju skaits gada sākumā,2002 Iedzīvotāju skaits gada sākumā,2003 Iedzīvotāju skaits gada sākumā,2004 Iedzīvotāju skaits gada sākumā,2005 Iedzīvotāju skaits gada sākumā,2006 Iedzīvotāju skaits gada sākumā,2007 Iedzīvotāju skaits gada sākumā,2008 Iedzīvotāju skaits gada sākumā,2009 Iedzīvotāju skaits gada sākumā,2010 Iedzīvotāju skaits gada sākumā,2011 Iedzīvotāju skaits gada sākumā,2012 Iedzīvotāju skaits gada sākumā,2013 Iedzīvotāju skaits gada sākumā,2014 Iedzīvotāju skaits gada sākumā,2015 Iedzīvotāju skaits gada sākumā,2016 Iedzīvotāju skaits gada sākumā,2017 Iedzīvotāju skaits gada sākumā,2018 Iedzīvotāju skaits gada sākumā,2019 Iedzīvotāju skaits gada sākumā,2020 Iedzīvotāju skaits gada sākumā
Strenči,,Strenču novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2222,2113,2126,2083,2075,2027,2104,2111,2118,2113,2099,1651,1618,1592,1575,1562,1551,1537,1509,1490,1477,1452,1415,1342,1276,1237,1184,1133,1107,1025,1018,982
Sabile,,Talsu novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1790,1761,1797,1798,1767,1765,1756,1749,1755,1744,1721,1534,1510,1487,1470,1446,1418,1392,1359,1334,1304,1260,1218,1212,1194,1464,1467,1389,1350,1333,1318,1312
Stende,,Talsu novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2134,2103,2126,2121,2109,2107,2086,2084,2094,2094,2040,2071,2047,2027,2013,1989,1959,1930,1892,1866,1837,1789,1734,1725,1712,1702,1671,1653,1639,1643,1634,1585
Talsi,,Talsu novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,13031,12801,13112,13162,13114,12991,12953,12972,12986,13102,12993,12404,12256,12133,12045,11892,11689,11521,11290,11115,10946,10652,10297,10146,9980,9791,9712,9516,9264,9269,9126,9026
Valdemārpils,,Talsu novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1581,1573,1591,1590,1610,1602,1564,1483,1395,1342,1288,1531,1511,1493,1479,1459,1433,1411,1381,1360,1335,1296,1249,1238,1331,1296,1287,1252,1222,1199,1169,1168
Tukums,,Tukuma novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21439,21189,21782,21776,21057,20213,19755,19533,19371,19309,19065,18891,18851,18831,18811,18815,18835,18869,18904,18974,18911,18752,18444,18078,17787,17606,17563,17369,17075,16937,16999,16896
Valka,,Valkas novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8230,7911,8155,8053,7774,7621,7436,7314,7081,6907,6665,6803,6696,6550,6509,6414,6281,6129,6024,5936,5785,5606,5492,5293,5221,5067,4966,4852,4718,4592,4573,4527
Varakļāni,,Varakļānu novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2798,2767,2711,2661,2626,2591,2587,2566,2539,2496,2467,2421,2355,2299,2269,2224,2197,2153,2118,2090,2050,2021,1982,1969,1965,1918,1887,1853,1853,1815,1764,1740
Piltene,,Ventspils novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1193,1290,1238,1238,1266,1291,1278,1271,1270,1279,1180,1130,1111,1081,1066,1056,1056,1055,1053,1071,1076,1084,1075,1068,1064,1022,995,979,939,903,902,909
Viesīte,,Viesītes novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2602,2533,2541,2564,2539,2481,2451,2434,2517,2513,2483,2249,2216,2145,2099,2046,2021,1983,1920,1902,1869,1829,1788,1728,1723,1691,1663,1633,1580,1544,1522,1500
Viļaka,,Viļakas novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2152,2163,2123,2076,2070,2052,2059,2047,2032,2016,1952,1848,1810,1787,1756,1713,1675,1643,1614,1586,1557,1521,1489,1464,1415,1395,1370,1326,1309,1301,1269,1223
Viļāni,,Viļānu novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4680,4858,4896,4915,4811,4803,4781,4756,4698,4636,4310,4058,3978,3882,3832,3762,3697,3625,3551,3467,3396,3299,3213,3149,3111,3039,3004,2963,2938,2891,2850,2813
Zilupe,,Zilupes novads,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2441,2314,2235,2215,2178,2159,2137,2106,2085,2070,2060,1951,1919,1869,1841,1817,1797,1770,1762,1765,1746,1710,1663,1633,1610,1590,1555,1533,1469,1437,1382,1343
